codigo,producto,cant,costo,stock,ventas,envios,status,pedido
415671,ELITE TISSUE X 10 PAPEL TISSUE,1,1926,26,1,0,OK,0
416249,PLENITUD FEMME NOCTURNA*392/504 X 20UNID,1,58500,1,1,0,BUFFER_MINIMO,1
418703,COLECTOR DE ORINA PEDIATRICO x 100 ml,1,1000,1,2,0,REPOSICION,1
431268,LAGRIMAX  SOL OFTALMICA x 10 ml,1,53600,0,1,0,CRITICO,1
700057,MULTIVITAN 27 COMP. REC. CAJA X 100,2,3796,6,2,0,OK,0
700122,TANTUM VERDE SOL. CAJA FCO. X 120 ML.,1,11542,1,1,0,BUFFER_MINIMO,1
700130,ATENOCAR 50 COMP. CAJA X 30,3,6840,3,3,0,OK,0
700443,KITADOL FORTE COMP. REC. CAJA X 20,6,4000,65,6,0,OK,0
700444,KITADOL RELAX COMP. REC. CAJA X 20,1,4929,20,1,0,OK,0
700514,PRODENT BIOTIC COMP. REC. CAJA X 8,1,10500,2,1,0,OK,0
700584,VEROLAX COMP. REC. GASTROR. CAJA X 30,3,3990,4,3,0,OK,0
700823,TOTAL MAGNESIANO COMP. REC. CAJA X 30,1,71021,2,1,0,OK,0
701086,ERGO DOLANET COMP. REC. EXHIB. X 24 BLIST. X,2,6208,23,2,0,OK,0
701390,NOVALGINA JARABE CAJA FCO. X 100 ML.,1,32701,2,1,0,OK,0
701534,NEUROTOL FORTE COMP. CAJA X 50,1,34530,0,1,0,CRITICO,1
701623,ZATIFEN GRIP JARABE CAJA X 1 FCO. X 125 ML. +,1,24500,1,1,0,BUFFER_MINIMO,1
701928,CEFALEX FORTE COMP. REC. CAJA X 20,3,11570,3,3,0,OK,0
702136,APELSIN C VITAMINA 1 G. TAB. EFERV. TUBO X 20,1,35533,2,1,0,OK,0
702233,DOLGENAL 60 SOL. INY. CAJA X 1 AMP. X 2 ML.,1,17865,3,1,0,OK,0
702239,C-VIMIN ZINC + D3 SOBRES POR UNIDAD 60 sobres,5,4583,24,5,0,OK,0
702767,MIRACLE CARAMELOS CAJA X 10,1,11375,4,1,0,OK,0
702978,SERTAL COMPUESTO COMP. REC. CAJA X 10,1,10949,2,1,0,OK,0
703001,DIBACTIL 500 MG. COMP. REC. CAJA X 10,1,58480,1,1,0,BUFFER_MINIMO,1
703137,BRONCOFAR NF SOL. ORAL CAJA x 1 FCO. X 120 ML,1,19260,0,1,0,CRITICO,1
703168,HEXACOL CREMA CAJA POMO X 20 G.,1,20210,1,1,0,BUFFER_MINIMO,1
703521,CONTRATOS PLUS JARABE CAJA FCO. X 120 ML.,1,15330,1,1,0,BUFFER_MINIMO,1
704372,DR SELBY GOTAS NASALES CAJA FCO. X 20 ML.,1,12977,15,1,0,OK,0
